Criptomoneda,Fecha,Open,High,Low,Close
dogecoin,2023-05-06 19:00:00,0.079702,0.080367,0.076913,0.076913
dogecoin,2023-05-10 19:00:00,0.077033,0.077033,0.072559,0.073393
dogecoin,2023-05-14 19:00:00,0.072171,0.07273,0.071899,0.072096
dogecoin,2023-05-18 19:00:00,0.072184,0.074905,0.072184,0.073624
dogecoin,2023-05-22 19:00:00,0.0736,0.073722,0.072257,0.073093
dogecoin,2023-05-26 19:00:00,0.072956,0.072956,0.070846,0.071095
dogecoin,2023-05-30 19:00:00,0.072773,0.073681,0.072392,0.072392
dogecoin,2023-06-02 19:00:00,0.071762,0.072622,0.071563,0.072622
dogecoin,2023-06-06 19:00:00,0.072514,0.072633,0.066806,0.070411
dogecoin,2023-06-10 19:00:00,0.067415,0.069586,0.062034,0.062034
dogecoin,2023-06-14 19:00:00,0.061684,0.061776,0.060479,0.060479
dogecoin,2023-06-18 19:00:00,0.061616,0.062345,0.061616,0.062345
dogecoin,2023-06-22 19:00:00,0.062378,0.065827,0.062378,0.065676
dogecoin,2023-06-26 19:00:00,0.068263,0.068263,0.06477,0.06477
dogecoin,2023-06-29 19:00:00,0.065546,0.065546,0.062562,0.063458
dogecoin,2023-07-02 19:00:00,0.066438,0.068428,0.066438,0.067906
dogecoin,2023-07-06 19:00:00,0.068315,0.068976,0.065176,0.065176
dogecoin,2023-07-10 19:00:00,0.065393,0.065785,0.0652,0.0652
dogecoin,2023-07-14 19:00:00,0.065328,0.070533,0.06507,0.068471
dogecoin,2023-07-18 19:00:00,0.072033,0.072033,0.06861,0.06861
dogecoin,2023-07-22 19:00:00,0.070176,0.073368,0.070176,0.070418
dogecoin,2023-07-26 19:00:00,0.071893,0.081719,0.071893,0.077942
dogecoin,2023-07-30 19:00:00,0.077524,0.080199,0.077283,0.078035
dogecoin,2023-08-02 19:00:00,0.077873,0.077873,0.074167,0.074167
dogecoin,2023-08-06 19:00:00,0.073642,0.075603,0.073471,0.074149
dogecoin,2023-08-10 19:00:00,0.073374,0.075759,0.073374,0.075759
dogecoin,2023-08-14 19:00:00,0.075714,0.076696,0.074764,0.074764
dogecoin,2023-08-18 19:00:00,0.070818,0.070818,0.061057,0.063189
dogecoin,2023-08-22 19:00:00,0.063734,0.063744,0.062501,0.062579
solana,2023-02-26 19:00:00,23.058353,23.230913,22.410354,23.230913
solana,2023-02-27 19:00:00,22.693578,22.693578,21.915751,21.974017
solana,2023-03-06 19:00:00,21.406769,21.406769,20.630964,20.630964
solana,2023-03-10 19:00:00,20.272742,20.272742,17.333062,18.212698
solana,2023-03-14 19:00:00,18.068482,20.979935,18.068482,20.979935
solana,2023-03-18 19:00:00,19.3364,21.644628,19.3364,21.317463
solana,2023-03-22 19:00:00,22.022111,22.740206,21.578068,21.578068
solana,2023-03-26 19:00:00,22.306155,22.306155,20.593699,20.982289
solana,2023-03-30 19:00:00,19.95754,21.132334,19.95754,20.574405
solana,2023-04-02 19:00:00,21.205402,21.205402,20.565439,20.565439
solana,2023-04-06 19:00:00,20.43669,20.982374,20.43669,20.609003
solana,2023-04-10 19:00:00,20.483785,20.875123,20.042581,20.875123
solana,2023-04-14 19:00:00,23.005655,24.773714,23.005655,24.773714
solana,2023-04-18 19:00:00,24.076087,25.295765,24.076087,24.828832
solana,2023-04-22 19:00:00,22.669218,22.669218,21.25633,21.851498
solana,2023-04-26 19:00:00,21.499273,21.939612,21.256248,21.256248
solana,2023-04-29 19:00:00,22.337864,23.374818,22.337864,23.128402
solana,2023-05-02 19:00:00,22.998322,22.998322,22.007486,22.262825
solana,2023-05-06 19:00:00,22.219642,22.818606,21.741801,21.986706
solana,2023-05-10 19:00:00,22.002452,22.002452,20.656685,20.975705
solana,2023-05-14 19:00:00,20.254403,20.936962,20.254403,20.936962
solana,2023-05-18 19:00:00,21.037748,21.058205,20.345196,20.345196
solana,2023-05-22 19:00:00,20.351527,20.351527,19.558763,19.558763
solana,2023-05-26 19:00:00,20.046909,20.046909,19.214323,19.367
solana,2023-05-30 19:00:00,20.405232,21.248387,20.405232,21.248387
solana,2023-06-02 19:00:00,20.820427,21.257126,20.512889,21.257126
solana,2023-06-06 19:00:00,21.148206,21.86975,20.082497,20.399316
solana,2023-06-10 19:00:00,18.649409,18.918868,15.712291,15.712291
solana,2023-06-14 19:00:00,15.552166,15.552166,14.511891,14.511891
solana,2023-06-18 19:00:00,14.741775,15.626354,14.741775,15.434485
solana,2023-06-22 19:00:00,16.038762,17.263202,16.038762,16.645393
solana,2023-06-26 19:00:00,17.100928,17.100928,16.284013,16.284013
solana,2023-06-29 19:00:00,16.604088,17.99844,15.996425,17.99844
solana,2023-07-02 19:00:00,18.93036,19.446733,18.61277,19.446733
solana,2023-07-06 19:00:00,19.205214,19.919048,18.972151,19.919048
solana,2023-07-10 19:00:00,21.438776,21.896701,21.302647,21.302647
solana,2023-07-14 19:00:00,22.068234,26.708371,21.997628,26.708371
solana,2023-07-18 19:00:00,27.351376,27.36508,25.526176,25.526176
solana,2023-07-22 19:00:00,26.353312,26.353312,24.456785,24.456785
solana,2023-07-26 19:00:00,24.773704,25.151988,23.267717,25.151988
solana,2023-07-30 19:00:00,25.093488,25.165048,24.266784,24.266784
solana,2023-08-02 19:00:00,23.756659,23.925547,23.134813,23.134813
solana,2023-08-06 19:00:00,22.654452,23.160312,22.625092,23.160312
solana,2023-08-10 19:00:00,23.052,24.618873,23.052,24.618873
solana,2023-08-14 19:00:00,24.57981,25.147725,24.223294,25.147725
solana,2023-08-18 19:00:00,23.875641,23.875641,21.330196,21.330196
solana,2023-08-22 19:00:00,21.87833,21.87833,20.553892,20.553892
internet-computer,2023-02-26 19:00:00,6.287856,6.287856,6.107051,6.232759
internet-computer,2023-02-27 19:00:00,6.127942,6.170665,5.800649,5.919381
internet-computer,2023-03-06 19:00:00,5.586466,5.586466,5.327312,5.327312
internet-computer,2023-03-10 19:00:00,5.3372,5.3372,4.768381,4.917005
internet-computer,2023-03-14 19:00:00,4.72592,5.541362,4.72592,5.541362
internet-computer,2023-03-18 19:00:00,5.19112,5.667338,5.19112,5.349266
internet-computer,2023-03-22 19:00:00,5.463065,5.463065,5.107412,5.107412
internet-computer,2023-03-26 19:00:00,5.230024,5.230024,4.927719,4.995821
internet-computer,2023-03-30 19:00:00,4.777962,5.15365,4.777962,5.027449
internet-computer,2023-04-02 19:00:00,5.195994,5.246772,5.076373,5.076373
internet-computer,2023-04-06 19:00:00,4.928349,5.017662,4.88559,4.88559
internet-computer,2023-04-10 19:00:00,4.995451,5.185981,4.920798,5.185981
internet-computer,2023-04-14 19:00:00,5.337963,5.504672,5.337963,5.504672
internet-computer,2023-04-18 19:00:00,5.909327,6.810035,5.909327,6.810035
internet-computer,2023-04-22 19:00:00,6.110699,6.110699,5.527344,5.626113
internet-computer,2023-04-26 19:00:00,5.428757,5.492702,5.305841,5.305841
internet-computer,2023-04-29 19:00:00,5.750547,6.492385,5.750547,6.492385
internet-computer,2023-05-02 19:00:00,6.448881,6.448881,5.736788,5.736788
internet-computer,2023-05-06 19:00:00,5.920834,5.947453,5.595384,5.595384
