Criptomoneda,Fecha,Precio
ripple,2023-08-22 01:55:07.408,0.2652216455196651
ripple,2023-08-22 02:00:39.062,0.26587117716000036
ripple,2023-08-22 02:05:06.475,0.26629371858673984
ripple,2023-08-22 02:10:45.156,0.2662148233780132
ripple,2023-08-22 02:15:54.140,0.26676867259939147
ripple,2023-08-22 02:19:59.177,0.266982649023578
ripple,2023-08-22 02:25:29.590,0.2667110421811947
ripple,2023-08-22 02:30:50.047,0.2668270191306988
ripple,2023-08-22 02:35:47.211,0.2669583001258138
ripple,2023-08-22 02:40:35.406,0.2670357236748671
ripple,2023-08-22 02:45:02.054,0.2668984193931129
ripple,2023-08-22 02:49:59.114,0.2666895331448184
ripple,2023-08-22 02:55:03.045,0.26644350580543824
ripple,2023-08-22 03:00:47.021,0.2662983179624699
ripple,2023-08-22 03:05:56.466,0.26633075146149826
ripple,2023-08-22 03:10:03.293,0.26606526265887076
ripple,2023-08-22 03:15:22.585,0.2659273120315449
ripple,2023-08-22 03:20:30.376,0.2657120555135134
ripple,2023-08-22 03:25:17.824,0.265569250232728
ripple,2023-08-22 03:30:27.411,0.26564939907793605
ripple,2023-08-22 03:35:24.529,0.26542519582803475
ripple,2023-08-22 03:41:16.247,0.26519919478453174
ripple,2023-08-22 03:45:12.585,0.26507599783875757
ripple,2023-08-22 03:50:30.076,0.26506775399701243
ripple,2023-08-22 03:54:57.842,0.2645313251092745
ripple,2023-08-22 03:59:57.063,0.26490880446209364
ripple,2023-08-22 04:05:51.783,0.26526705495650615
ripple,2023-08-22 04:10:49.038,0.26527896236168724
ripple,2023-08-22 04:15:04.707,0.2656670560422736
ripple,2023-08-22 04:20:13.260,0.2656846847200876
ripple,2023-08-22 04:25:54.592,0.26580630398486393
ripple,2023-08-22 04:30:22.313,0.26580907010059535
ripple,2023-08-22 04:35:07.307,0.2657399846932168
ripple,2023-08-22 04:40:37.811,0.26650732666842725
ripple,2023-08-22 04:44:53.327,0.2663309368450515
ripple,2023-08-22 04:49:54.075,0.26624679664277173
ripple,2023-08-22 04:55:26.303,0.26624098043285055
ripple,2023-08-22 05:00:55.425,0.2661033074703797
ripple,2023-08-22 05:05:00.251,0.26583602032557574
ripple,2023-08-22 05:09:59.677,0.26600485211919084
ripple,2023-08-22 05:15:00.188,0.2656932535409148
ripple,2023-08-22 05:20:08.676,0.2656131973839216
ripple,2023-08-22 05:24:56.668,0.26595035722766885
ripple,2023-08-22 05:31:25.159,0.2656911312432363
ripple,2023-08-22 05:35:45.360,0.26524039583443615
ripple,2023-08-22 05:40:01.625,0.26482702196789604
ripple,2023-08-22 05:45:20.701,0.2650351443061634
ripple,2023-08-22 05:50:41.017,0.2648201433356675
ripple,2023-08-22 05:55:58.214,0.2646781964309983
ripple,2023-08-22 06:00:15.995,0.2648067569152115
ripple,2023-08-22 06:05:20.531,0.2651000989013305
ripple,2023-08-22 06:10:08.787,0.2652535336992996
ripple,2023-08-22 06:15:20.892,0.2652387609383241
ripple,2023-08-22 06:20:59.494,0.2653139724577798
ripple,2023-08-22 06:25:26.272,0.2654108418399536
ripple,2023-08-22 06:30:56.313,0.26571893311734035
ripple,2023-08-22 06:35:35.630,0.26551864943496856
ripple,2023-08-22 06:40:35.749,0.2652140106871392
ripple,2023-08-22 06:45:33.002,0.26533038195235714
ripple,2023-08-22 06:50:53.379,0.2651113806776876
ripple,2023-08-22 06:55:31.120,0.265288229687694
ripple,2023-08-22 07:01:03.122,0.2652359947279932
ripple,2023-08-22 07:05:40.166,0.2652828381368352
ripple,2023-08-22 07:10:26.043,0.2657385971010976
ripple,2023-08-22 07:15:24.461,0.2658498973576018
ripple,2023-08-22 07:20:45.957,0.26612712476560185
ripple,2023-08-22 07:25:32.800,0.2663601680121802
ripple,2023-08-22 07:30:47.588,0.26659669799419305
ripple,2023-08-22 07:35:38.530,0.2666202223932919
ripple,2023-08-22 07:41:06.123,0.26674495288602057
ripple,2023-08-22 07:45:42.777,0.26694916887168985
ripple,2023-08-22 07:51:02.504,0.26688105242142035
